PO Number,Order Date,Delivery Date,Supplier,Delivery Location,Customer,Barcode,Product Name,Quantity,Unit Cost,VAT %,Amount Excl VAT,VAT Amount,Amount Incl VAT
PO3742777,30/12/2025,03/01/2026,QUADRANT INTERNATIONAL,UAE_Talabat_3pl_GSL_DIP,Talabat,09501033112124,Al Mudhish Chips Ready Salt 75g,370,4.00,5,1480.00,74.00,1554.00
PO3742777,30/12/2025,03/01/2026,QUADRANT INTERNATIONAL,UAE_Talabat_3pl_GSL_DIP,Talabat,09501033112636,Al Mudhish Chips Rip. Cru.Chill 75g,250,4.00,5,1000.00,50.00,1050.00
